AUC,R^2,MAE,RMSE,NMAE,NRMSE,TNR,FPR,FNR,TPR,Configuration
0.8878241188722877,-0.0758499214652073,15.295912460723954,20.151980271200745,0.6387519220315806,0.8415396050431327,0.8241106719367589,0.17588932806324112,0.15352697095435686,0.8464730290456431,all
0.8878241188722877,-0.48793334164388114,20.553676431629775,23.699196442893005,0.8583142953537364,0.9896701041779777,0.8241106719367589,0.17588932806324112,0.15352697095435686,0.8464730290456431,two_step_pos
0.8878241188722877,-0.4644181305871833,20.403074322065297,23.51118028173245,0.8520252042522195,0.9818186154470715,0.8241106719367589,0.17588932806324112,0.15352697095435686,0.8464730290456431,two_step_pos_classified
0.9035425741382982,-0.0992376572874214,14.906054820474928,20.80758223715514,0.6187339690258638,0.8636998923244847,0.8324772817068352,0.16752271829316476,0.13168724279835392,0.8683127572016461,all
0.9035425741382982,-0.5408860698416686,21.027224555480988,24.635483221689988,0.8728170037949942,1.022591859228159,0.8324772817068352,0.16752271829316476,0.13168724279835392,0.8683127572016461,two_step_pos
0.9035425741382982,-0.5290995591527798,20.75172297192252,24.54108176272631,0.861381235557117,1.01867335831763,0.8324772817068352,0.16752271829316476,0.13168724279835392,0.8683127572016461,two_step_pos_classified
0.9089277604911276,0.051032101528289964,13.533627604467704,18.923496519400345,0.5685689881461801,0.7950058611536913,0.8541501976284585,0.1458498023715415,0.1574468085106383,0.8425531914893617,all
0.9089277604911276,-0.46720025447957103,20.14194232934775,23.529912964454667,0.8461946866127317,0.9885286632943278,0.8541501976284585,0.1458498023715415,0.1574468085106383,0.8425531914893617,two_step_pos
0.9089277604911276,-0.5483514933925062,20.555770729402443,24.171878499406077,0.8635802687760518,1.0154986454232546,0.8541501976284585,0.1458498023715415,0.1574468085106383,0.8425531914893617,two_step_pos_classified
0.8744305652642279,-0.12943755132583568,14.674155775944671,20.631747889176978,0.6276059898381816,0.8824090975853871,0.8411694982220467,0.15883050177795338,0.18803418803418803,0.811965811965812,all
0.8744305652642279,-0.6354272599837518,20.876541418106957,24.82678750174208,0.8928787891557827,1.0618287540654077,0.8411694982220467,0.15883050177795338,0.18803418803418803,0.811965811965812,two_step_pos
0.8744305652642279,-0.6415651080807394,20.891133824973146,24.873332018374736,0.8935028987873834,1.063819438768419,0.8411694982220467,0.15883050177795338,0.18803418803418803,0.811965811965812,two_step_pos_classified
0.904373593527219,-0.08686848630964827,14.370300157343175,20.189519175693906,0.6454397065359504,0.9068089872293281,0.841564598972738,0.15843540102726195,0.1391304347826087,0.8608695652173913,all
0.904373593527219,-0.4838285431860987,20.26350483540112,23.590075905274507,0.9101320411646274,1.0595444425481086,0.841564598972738,0.15843540102726195,0.1391304347826087,0.8608695652173913,two_step_pos
0.904373593527219,-0.4765734278937348,20.077447712916673,23.532333910649655,0.9017753156112005,1.056950970201853,0.841564598972738,0.15843540102726195,0.1391304347826087,0.8608695652173913,two_step_pos_classified
